UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
39,5,0,-0.5481417532339449,-0.5403514389750271,-1.0486263147540724,1.1116494019846321,-0.03173984208155297,0,0,0,0,0,0
40,980,1,-0.5982497379001948,-0.607868831772886,-1.2719236224288482,1.313425470512192,0.046905001137710955,0,0,0,0,0,0
41,981,1,-0.5982497379001948,-0.607868831772886,-1.1795247364944583,0.5175309779868147,0.07836293842541657,0,0,0,0,0,0
42,982,1,-0.5982497379001948,-0.607868831772886,-1.1333252935272635,1.1228591835694963,0.10982087571312218,0,0,0,0,0,0
43,6696,2,-0.5982497379001948,-0.607868831772886,-1.1333252935272635,0.9322928966268007,0.14127881300082779,0,0,0,0,0,0
44,6,0,-0.5982497379001948,-0.5403514389750271,-1.1025256648824664,0.8650342071176134,0.18846571893238612,0,0,0,0,0,0
45,6697,2,-0.5982497379001948,-0.607868831772886,-0.33253494876254774,0.752936391268968,0.26711056215165,0,0,0,0,0,0
46,983,1,-0.5982497379001948,-0.607868831772886,-0.2016365270221631,0.9322928966268007,0.31429746808320835,0,0,0,0,0,0
47,6698,2,-0.6483577225665101,-0.6753862245707838,2.524130608042345,-1.6795862126466221,0.34575540537091376,0,0,0,0,0,0
48,984,1,-0.5982497379001948,-0.607868831772886,-0.7483299354673035,0.6184190122505945,0.39294231130247226,0,0,0,0,0,0
49,7,0,-0.5982497379001948,-0.5403514389750271,-0.6944305853389096,1.470362412700295,0.42440024859017766,0,0,0,0,0,0
50,6699,2,-0.5481417532339449,-0.5403514389750271,-0.7945293784344997,0.3718038173835769,0.5030450918094416,0,0,0,0,0,0
52,985,1,-0.5481417532339449,-0.607868831772886,-1.0178266861092755,1.582460228548939,0.5816899350287055,0,0,0,0,0,0
53,8,0,-0.5982497379001948,-0.6753862245707838,-0.140037269732569,0.3381744726289826,0.6131478723164113,0,0,0,0,0,0
54,986,1,-0.6483577225665101,-0.6753862245707838,0.38355641722897454,-0.6370765252542261,0.6917927155356752,0,0,0,0,0,0
55,987,1,-0.6483577225665101,-0.6753862245707838,1.353744719540072,-1.1975656044974499,0.7232506528233806,0,0,0,0,0,0
56,988,1,-0.5982497379001948,-0.607868831772886,-0.024538662314582266,-0.009328756501815498,0.7547085901110865,0,0,0,0,0,0
57,989,1,-0.5982497379001948,-0.607868831772886,-0.294035412956553,0.18123753044088012,0.7861665273987919,0,0,0,0,0,0
58,990,1,-0.5982497379001948,-0.607868831772886,-0.016838755153383317,-0.05416788284127394,0.8176244646864973,0,0,0,0,0,0
59,6700,2,-0.5982497379001948,-0.6753862245707838,1.1227475047040962,-1.2648242940066368,0.8490824019742031,0,0,0,0,0,0
60,991,1,-0.5982497379001948,-0.607868831772886,-1.0563262219152714,1.526411320624617,0.8962693079057616,0,0,0,0,0,0
61,992,1,-0.5982497379001948,-0.607868831772886,-0.9408276144972835,1.3246352520970572,0.927727245193467,0,0,0,0,0,0
62,6701,2,-0.5982497379001948,-0.6753862245707838,0.5914539105813537,-0.2895732961234268,0.9591851824811725,0,0,0,0,0,0
63,993,1,-0.5982497379001948,-0.6753862245707838,2.416331907785557,-2.004669878607692,1.006372088412731,0,0,0,0,0,0
64,6702,2,-0.5481417532339449,-0.6753862245707838,2.2854334860451724,-1.668376431061758,1.0378300257004365,0,0,0,0,0,0
65,994,1,-0.4980337685676295,-0.607868831772886,0.06016031645860867,-0.24473416978396956,1.0850169316319949,0,0,0,0,0,0
66,995,1,-0.4980337685676295,-0.607868831772886,-0.9331277073360845,0.4839016332322215,1.1164748689197004,0,0,0,0,0,0
67,6703,2,-0.5481417532339449,-0.7429036173686816,1.2613458336056798,-1.3545025466855525,1.1479328062074061,0,0,0,0,0,0
68,9,0,-0.5982497379001948,-0.7429036173686816,-0.37873439172974394,0.3718038173835769,1.1951197121389643,0,0,0,0,0,0
69,996,1,-0.5982497379001948,-0.7429036173686816,0.09095994510340696,-0.9397406280455669,1.2737645553582282,0,0,0,0,0,0
70,997,1,-0.5481417532339449,-0.6753862245707838,-0.8099291927568976,2.7931166397143037,1.305222492645934,1,0,0,1,1,0
72,998,1,-0.5481417532339449,-0.607868831772886,-0.4865330919865317,0.5287407595716794,1.3838673358651978,0,0,0,0,0,0
73,999,1,-0.5481417532339449,-0.607868831772886,-1.1256253863660632,0.40543316213817,1.4153252731529034,0,0,0,0,0,0
74,1000,1,-0.4980337685676295,-0.607868831772886,0.5914539105813537,-0.6482863068390908,1.446783210440609,0,0,0,0,0,0
75,1001,1,-0.5481417532339449,-0.6753862245707838,0.6607530750321442,-0.9509504096304318,1.4782411477283146,0,0,0,0,0,0
76,1002,1,-0.5982497379001948,-0.7429036173686816,-1.0486263147540724,0.663258138590053,1.50969908501602,0,0,0,0,0,0
77,1003,1,-0.5982497379001948,-0.7429036173686816,-0.4172339275357387,0.7977755176084259,1.5411570223037259,0,0,0,0,0,0
78,1004,1,-0.5982497379001948,-0.7429036173686816,-0.46343337050293487,0.057929933007370704,1.5726149595914312,1,1,0,0,0,0
79,1005,1,-0.5982497379001948,-0.7429036173686816,-0.9023280786912875,1.2013276546635479,-1.6990105183299484,0,0,0,0,0,0
80,1006,1,-0.5982497379001948,-0.7429036173686816,-0.8715284500464904,-0.3232026408780211,-1.6675525810422427,0,0,0,0,0,0
81,10,0,-0.5982497379001948,-0.8104210101665406,-0.5404324421149268,1.0219711493057164,-1.6360946437545372,0,0,0,0,0,0
82,1007,1,-0.5481417532339449,-0.7429036173686816,-0.5019329063089308,0.752936391268968,-1.5574498005352733,0,0,0,0,0,0
83,1008,1,-0.5481417532339449,-0.7429036173686816,-0.47883318482533277,0.001881025083048675,-1.5259918632475677,0,0,0,0,0,0
84,1009,1,-0.4980337685676295,-0.6753862245707838,-0.3556346702461471,-0.07658744601100229,-1.4945339259598622,0,0,0,0,0,0
85,1010,1,-0.5481417532339449,-0.7429036173686816,-0.7175303068225077,0.7641461728538335,-1.4630759886721565,0,0,0,0,0,0
86,6704,2,-0.4980337685676295,-0.6753862245707838,2.223834228755578,-1.5674883967979776,-1.431618051384451,0,0,0,0,0,0
87,11,0,-0.4980337685676295,-0.6753862245707838,-0.6097316065657187,0.3493842542138474,-1.3844311454528926,0,0,0,0,0,0
88,1011,1,-0.4980337685676295,-0.6753862245707838,0.2218583668437916,-1.0069993175547538,-1.3057863022336287,0,0,0,0,0,0
89,6705,2,-0.4980337685676295,-0.6753862245707838,-0.7406300283061046,0.4951114148170863,-1.2743283649459232,0,0,0,0,0,0
90,6706,2,-0.5481417532339449,-0.7429036173686816,-0.21703634134456098,-0.14384613552018907,-1.2271414590143648,0,0,0,0,0,0
91,1012,1,-0.5481417532339449,-0.7429036173686816,1.8311389635344195,-1.6795862126466221,-1.1799545530828062,0,0,0,0,0,0
92,1013,1,-0.5481417532339449,-0.7429036173686816,2.424031814946756,-1.7804742469104027,-1.1484966157951009,0,0,0,0,0,0
93,6707,2,-0.5481417532339449,-0.7429036173686816,1.6309413773432417,-1.533859052043384,-1.1170386785073951,0,0,0,0,0,0
94,1014,1,-0.44792578390134685,-0.6753862245707838,-0.5019329063089308,0.2484962199500675,-1.069851772575837,0,0,0,0,0,0
95,1015,1,-0.4980337685676295,-0.7429036173686816,0.8224511254173271,-0.9957895359698896,-1.0383938352881312,0,0,0,0,0,0
96,6708,2,-0.4980337685676295,-0.6753862245707838,-1.2642237152676492,1.2797961257575994,-1.0069358980004257,0,0,0,0,0,0
97,6709,2,-0.4980337685676295,-0.6753862245707838,0.46055548884096653,-0.6146569620844977,-0.9597489920688674,0,0,0,0,0,0
98,6710,2,-0.5481417532339449,-0.7429036173686816,1.8080392420508227,-1.219985167667179,-0.9125620861373089,0,0,0,0,0,0
99,1016,1,-0.5481417532339449,-0.8104210101665406,0.10635975942580486,-0.9061112832909732,-0.8653751802057507,0,0,0,0,0,0
100,1017,1,-0.5982497379001948,-0.8104210101665406,0.06016031645860867,0.40543316213817,-0.833917242918045,0,0,0,0,0,0
101,1018,1,-0.5982497379001948,-0.7429036173686816,2.593429772493138,-1.7692644653255378,-0.8024593056303395,0,0,0,0,0,0
103,1019,1,-0.5982497379001948,-0.8104210101665406,0.30655734561698256,-0.020538538086679672,-0.7395434310549283,0,0,0,0,0,0
104,6711,2,-0.5982497379001948,-0.8104210101665406,-0.5712320707597226,-0.03174831967154443,-0.7080854937672229,0,0,0,0,0,0
105,1020,1,-0.5982497379001948,-0.8779384029644384,-0.5019329063089308,0.29333534628952534,-0.6608985878356644,0,0,0,0,0,0
106,1021,1,-0.5982497379001948,-0.8779384029644384,0.5837540034201522,-1.0854677886488047,-0.6294406505479587,0,0,0,0,0,0
107,1022,1,-0.5982497379001948,-0.8779384029644384,-0.5404324421149268,0.8650342071176134,-0.5979827132602533,0,0,0,0,0,0
108,6712,2,-0.5982497379001948,-0.8104210101665406,-0.140037269732569,0.6744679201749172,-0.5665247759725478,0,0,0,0,0,0
109,12,0,-0.5481417532339449,-0.8104210101665406,0.8147512182561282,-0.9061112832909732,-0.5193378700409894,0,0,0,0,0,0
110,1023,1,-0.5481417532339449,-0.8779384029644384,0.4374557673573697,-0.7491743411028707,-0.4406930268217255,0,0,0,0,0,0
111,1024,1,-0.5982497379001948,-0.9454557957622972,2.7474279157171217,-2.04950900494715,-0.4092350895340199,0,0,0,0,0,0
112,13,0,-0.6483577225665101,-0.9454557957622972,-0.12463745541017111,0.30454512787438953,-0.3777771522463143,0,0,0,0,0,0
113,6713,2,-0.5982497379001948,-0.8779384029644384,-0.13233736257137005,-0.14384613552018907,-0.29913230902705035,0,0,0,0,0,0
114,6714,2,-0.5982497379001948,-0.9454557957622972,-0.22473624850575993,0.12518862251655807,-0.25194540309549207,0,0,0,0,0,0
115,1025,1,-0.5982497379001948,-0.9454557957622972,1.2690457407668811,-1.2760340755915014,-0.20475849716393352,0,0,0,0,0,0
116,1026,1,-0.5982497379001948,-0.9454557957622972,-0.6482311423717146,0.5511603227414084,-0.17330055987622814,0,0,0,0,0,0
117,1027,1,-0.5481417532339449,-0.8779384029644384,0.3758565100677756,-0.7491743411028707,-0.1418426225885225,0,0,0,0,0,0
118,1028,1,-0.5982497379001948,-0.9454557957622972,0.6453532607097463,-0.8724819385363801,-0.1103846853008169,0,0,0,0,0,0
119,6715,2,-0.5982497379001948,-0.9454557957622972,1.4769432341192579,-1.4217612361947392,-0.07892674801311128,0,0,0,0,0,0
120,1029,1,-0.6483577225665101,-1.0129731885601951,-0.371034484568545,-0.009328756501815498,-0.03173984208155297,0,0,0,0,0,0
121,1030,1,-0.5481417532339449,-0.8779384029644384,-0.6328313280493167,0.43906250689276366,-0.0002819047938473578,0,0,0,0,0,0
122,1031,1,-0.5481417532339449,-0.8779384029644384,0.3296570671005794,0.04672015142250712,0.031176032493858256,0,0,0,0,0,0
123,1032,1,-0.4980337685676295,-0.8104210101665406,-1.579919908876815,1.1116494019846321,0.06263396978156387,0,0,0,0,0,0
124,1033,1,-0.5481417532339449,-0.8779384029644384,0.2372581811661895,0.29333534628952534,0.09409190706926926,0,0,0,0,0,0
125,1034,1,-0.5481417532339449,-0.8779384029644384,1.6309413773432417,-1.2760340755915014,0.1255498443569749,0,0,0,0,0,0
126,1035,1,-0.5481417532339449,-0.9454557957622972,0.3450568814229798,-0.9621601912152953,0.1570077816446805,0,0,0,0,0,0
127,1036,1,-0.4980337685676295,-0.9454557957622972,-1.4336216728140312,2.2102079973013504,0.18846571893238612,0,0,0,0,0,0
128,1037,1,-0.5481417532339449,-0.9454557957622972,-0.7868294712732995,0.6408385754203241,0.21992365622009172,0,0,0,0,0,0
129,1038,1,-0.4980337685676295,-0.9454557957622972,0.5529543747753564,-0.24473416978396956,0.2513815935077971,0,0,0,0,0,0
130,1039,1,-0.5481417532339449,-1.0129731885601951,0.33735697426178085,-0.7267547779331424,0.2828395307955027,0,0,0,0,0,0
131,1040,1,-0.5982497379001948,-1.0804905813580927,-0.3248350416013488,0.03551036983764236,0.31429746808320835,0,0,0,0,0,0
132,1041,1,-0.5982497379001948,-1.0804905813580927,1.7079404489552337,-1.466600362534197,0.34575540537091376,0,0,0,0,0,0
133,6716,2,-0.6483577225665101,-1.0804905813580927,-0.5712320707597226,0.2709157831197964,0.37721334265861955,0,0,0,0,0,0
134,6717,2,-0.6483577225665101,-1.0804905813580927,-0.6559310495329136,0.9883418045511227,0.42440024859017766,0,0,0,0,0,0
135,1042,1,-0.5982497379001948,-1.0804905813580927,-1.1256253863660632,1.369474378436515,0.4715871545217362,0,0,0,0,0,0
136,6718,2,-0.5982497379001948,-1.0129731885601951,1.5077428627640537,-1.3769221098552813,0.5030450918094416,0,0,0,0,0,0
137,14,0,-0.6483577225665101,-1.0129731885601951,-0.7329301211449056,0.5511603227414084,0.5502319977410001,0,0,0,0,0,0
138,1043,1,-0.6483577225665101,-0.9454557957622972,-1.6800187019724038,1.627299354888397,0.6288768409602641,0,0,0,0,0,0
139,15,0,-0.5982497379001948,-0.9454557957622972,-0.5096328134701298,0.9659222413813933,0.6603347782479695,0,0,0,0,0,0
140,1044,1,-0.5982497379001948,-0.9454557957622972,-1.9033160096471808,1.68334826281272,0.7389796214672334,0,0,0,0,0,0
141,1045,1,-0.5982497379001948,-0.9454557957622972,-0.032238569475781215,-0.5249787094055814,0.7704375587549392,0,0,0,0,0,0
142,1046,1,-0.6483577225665101,-1.0129731885601951,0.2218583668437916,-0.6258667436693613,0.8018954960426445,0,0,0,0,0,0
143,6719,2,-0.6984657072327601,-1.0804905813580927,2.0236366425643983,-1.410551454609875,0.8333534333303504,0,0,0,0,0,0
144,16,0,-0.6984657072327601,-1.0804905813580927,-0.8330289142404944,1.0892298388149027,0.8805403392619086,0,0,0,0,0,0
145,6720,2,-0.6984657072327601,-1.0804905813580927,-0.9562274288196814,0.18123753044088012,0.9591851824811725,0,0,0,0,0,0
146,1047,1,-0.7485736918990755,-1.0804905813580927,-0.016838755153383317,-0.8052232490271928,1.006372088412731,0,0,0,0,0,0
147,17,0,-0.7485736918990755,-1.0804905813580927,0.7454520538053351,-0.5249787094055814,1.0378300257004365,0,0,0,0,0,0
148,1048,1,-0.7986816765653582,-1.0804905813580927,-0.0014389408309829306,-0.07658744601100229,1.1164748689197004,0,0,0,0,0,0
149,6721,2,-0.8487896612316408,-1.1480079741559517,-1.0486263147540724,0.8089852991932913,1.1479328062074061,0,0,0,0,0,0
150,1049,1,-0.7986816765653582,-1.1480079741559517,-0.3248350416013488,-0.0990070091807318,1.1951197121389643,0,0,0,0,0,0
151,1050,1,-0.7986816765653582,-1.1480079741559517,-0.7175303068225077,0.21486687519547437,1.22657764942667,0,0,0,0,0,0
152,6722,2,-0.7986816765653582,-1.2155253669538495,-0.4018341132133408,-0.3568319856326142,1.2580355867143755,0,0,0,0,0,0
153,6723,2,-0.7986816765653582,-1.2155253669538495,0.5298546532917595,0.024300588252777606,1.305222492645934,0,0,0,0,0,0
154,1051,1,-0.7986816765653582,-1.2155253669538495,2.57802995817074,-1.5450688336282485,1.352409398577492,0,0,0,0,0,0
155,1052,1,-0.7986816765653582,-1.2155253669538495,0.09865985226460591,-0.5137689278207167,1.3838673358651978,0,0,0,0,0,0
157,6724,2,-0.7986816765653582,-1.2830427597517085,-0.1554370840549669,0.5847896674960015,1.4939701163721673,0,0,0,0,0,0
158,18,0,-0.7986816765653582,-1.2155253669538495,-0.28633550579535405,0.30454512787438953,1.5411570223037259,0,0,0,0,0,0
159,6725,2,-0.7986816765653582,-1.2155253669538495,-0.12463745541017111,-0.08779722759586704,1.6198018655229898,0,0,0,0,0,0
160,1053,1,-0.7986816765653582,-1.2155253669538495,-0.3402348559237467,0.6968874833446461,1.6669887714545477,0,0,0,0,0,0
161,1054,1,-0.7986816765653582,-1.2155253669538495,-1.7955173093903918,2.2326275604710797,1.6984467087422537,1,0,0,0,1,0
162,1055,1,-0.8487896612316408,-1.2830427597517085,-0.7945293784344997,1.2910059073424636,1.729904646029959,1,0,0,0,1,0
163,1056,1,-0.8487896612316408,-1.2830427597517085,0.5452544676141574,-0.5922373989147682,-1.6990105183299484,0,0,0,0,0,0
164,6726,2,-0.7986816765653582,-1.2155253669538495,-0.36333457740734604,0.3381744726289826,-1.6675525810422427,0,0,0,0,0,0
165,6727,2,-0.7485736918990755,-1.1480079741559517,-0.5789319779209215,0.3157549094592543,-1.6203656751106843,0,0,0,0,0,0
166,1057,1,-0.7485736918990755,-1.0804905813580927,1.6771408203104354,-1.6571666494768933,-1.5731787691791261,0,0,0,0,0,0
167,19,0,-0.7986816765653582,-1.2155253669538495,0.7454520538053351,-0.917321064875838,-1.5417208318914204,0,0,0,0,0,0
168,20,0,-0.7986816765653582,-1.1480079741559517,-0.440333649019338,0.23728643836520272,-1.4630759886721565,0,0,0,0,0,0
169,1058,1,-0.7986816765653582,-1.1480079741559517,-0.6328313280493167,2.4119840658289102,-1.3844311454528926,1,0,0,1,0,0
170,1059,1,-0.7986816765653582,-1.1480079741559517,-1.518320651587222,2.0532710551132483,-1.352973208165187,0,0,0,0,0,0
171,6728,2,-0.7986816765653582,-1.2155253669538495,0.7300522394829372,-0.6482863068390908,-1.3215152708774813,0,0,0,0,0,0
172,1060,1,-0.8988976458979234,-1.2830427597517085,-0.40953402037453973,1.1228591835694963,-1.2743283649459232,0,0,0,0,0,0
174,6729,2,-0.8988976458979234,-1.3505601525496451,0.5837540034201522,-0.7940134674423286,-1.1956835217266593,0,0,0,0,0,0
175,1061,1,-0.8988976458979234,-1.2830427597517085,-1.6107195375216121,1.9635928024343314,-1.1484966157951009,0,0,0,0,0,0
176,1062,1,-0.8988976458979234,-1.2830427597517085,-1.0255265932704745,0.30454512787438953,-1.1170386785073951,0,0,0,0,0,0
177,1063,1,-0.8988976458979234,-1.2830427597517085,0.7916514967725313,-0.681915651593684,-1.0855807412196896,0,0,0,0,0,0
179,1064,1,-0.8988976458979234,-1.2155253669538495,-0.6097316065657187,1.05560049406031,-1.0226648666442784,0,0,0,0,0,0
180,1065,1,-0.8988976458979234,-1.1480079741559517,-1.62611935184401,1.0107613677208511,-0.9912069293565728,0,0,0,0,0,0
181,1066,1,-0.8988976458979234,-1.1480079741559517,-0.3094352272789509,1.0219711493057164,-0.9597489920688674,0,0,0,0,0,0
182,21,0,-0.8988976458979234,-1.1480079741559517,2.3778323719795624,-1.8589427180044535,-0.9282910547811618,0,0,0,0,0,0
183,6730,2,-0.9490056305642061,-1.2155253669538495,-1.333522879718441,0.8201950807781555,-0.8496462115618978,0,0,0,0,0,0
184,1067,1,-0.9490056305642061,-1.2155253669538495,-0.2324361556669589,-0.009328756501815498,-0.8024593056303395,0,0,0,0,0,0
185,1068,1,-0.8988976458979234,-1.2155253669538495,1.16894694767129,-1.1415166965731274,-0.7710013683426339,0,0,0,0,0,0
186,1069,1,-0.8988976458979234,-1.2155253669538495,-0.5327325349537266,-0.2895732961234268,-0.7395434310549283,0,0,0,0,0,0
187,1070,1,-0.9490056305642061,-1.1480079741559517,-1.649219073327608,1.7057678259824485,-0.7080854937672229,0,0,0,0,0,0
188,1071,1,-0.8988976458979234,-1.0804905813580927,-1.0486263147540724,0.25970600153493223,-0.6766275564795173,0,0,0,0,0,0
189,1072,1,-0.8487896612316408,-1.0129731885601951,0.6992526108381414,-0.8052232490271928,-0.6451696191918117,0,0,0,0,0,0
190,6731,2,-0.8487896612316408,-1.0804905813580927,0.18335883103779685,0.29333534628952534,-0.6137116819041061,0,0,0,0,0,0
191,1073,1,-0.8988976458979234,-1.0804905813580927,-0.294035412956553,1.0219711493057164,-0.5665247759725478,0,0,0,0,0,0
192,1074,1,-0.8988976458979234,-1.0804905813580927,1.161247040510091,-0.6931254331785481,-0.5350668386848422,0,0,0,0,0,0
193,22,0,-0.8988976458979234,-1.0804905813580927,-0.9023280786912875,1.2349569994181404,-0.5036089013971365,0,0,0,0,0,0
194,23,0,-0.8988976458979234,-1.0804905813580927,1.2536459264444808,-0.6931254331785481,-0.4249640581778726,0,0,0,0,0,0
196,1075,1,-0.8487896612316408,-1.0129731885601951,-0.47883318482533277,0.23728643836520272,-0.29913230902705035,0,0,0,0,0,0
197,24,0,-0.8487896612316408,-0.9454557957622972,-0.6405312352105157,0.9771320229662586,-0.2676743717393448,0,0,0,0,0,0
198,6732,2,-0.7986816765653582,-0.9454557957622972,0.09095994510340696,0.013090806667913431,-0.18902952852008081,0,0,0,0,0,0
199,1076,1,-0.7986816765653582,-0.8779384029644384,0.5606542819365553,-0.6482863068390908,-0.1418426225885225,0,0,0,0,0,0
200,1077,1,-0.7986816765653582,-0.9454557957622972,-0.6328313280493167,0.7080972649295114,-0.1103846853008169,0,0,0,0,0,0
201,1078,1,-0.7986816765653582,-0.9454557957622972,0.7223523323217382,-0.6482863068390908,-0.07892674801311128,0,0,0,0,0,0
202,1079,1,-0.8487896612316408,-1.0129731885601951,0.46055548884096653,0.04672015142250712,-0.047468810725405666,0,0,0,0,0,0
203,6733,2,-0.7986816765653582,-1.0129731885601951,0.9302498256741174,-0.5698178357450387,-0.016010873437700274,0,0,0,0,0,0
204,1080,1,-0.7986816765653582,-1.0129731885601951,-0.19393661986096414,-0.3232026408780211,0.031176032493858256,0,0,0,0,0,0
205,1081,1,-0.7986816765653582,-1.0129731885601951,1.7387400776000295,-0.894901501706109,0.06263396978156387,0,0,0,0,0,0
206,6734,2,-0.7485736918990755,-0.9454557957622972,-1.3181230653960432,1.369474378436515,0.09409190706926926,0,0,0,0,0,0
207,1082,1,-0.7485736918990755,-0.8779384029644384,0.7223523323217382,-0.6146569620844977,0.14127881300082779,0,0,0,0,0,0
208,6735,2,-0.7986816765653582,-0.8779384029644384,-0.7252302139837067,2.2326275604710797,0.1727367502885332,1,0,0,1,0,0
209,1083,1,-0.7986816765653582,-0.9454557957622972,0.5837540034201522,-0.4577200198963941,0.21992365622009172,0,0,0,0,0,0
210,1084,1,-0.7986816765653582,-0.9454557957622972,-0.294035412956553,0.36059403579871213,0.2513815935077971,0,0,0,0,0,0
211,1085,1,-0.7986816765653582,-0.8779384029644384,0.06016031645860867,-0.5249787094055814,0.2828395307955027,0,0,0,0,0,0
212,1086,1,-0.7485736918990755,-0.8779384029644384,0.46055548884096653,-0.7715939042725997,0.31429746808320835,0,0,0,0,0,0
213,25,0,-0.7986816765653582,-0.8779384029644384,-1.3181230653960432,1.3582645968516498,0.34575540537091376,0,0,0,0,0,0
214,1087,1,-0.7986816765653582,-0.8779384029644384,-0.9947269646256773,0.46148207006249203,0.42440024859017766,0,0,0,0,0,0
